date, ansicSLOC, totalSLOC, cLOC
Jun/17/2005, 4155748, 4356161, 4799601
Aug/28/2005, 4289406, 4496659, 4914334
Oct/27/2005, 4399620, 4609589, 5048229
Jan/2/2006, 4481795, 4697435, 5138355
Mar/19/2006, 4601957, 4818320, 5287090
Jun/17/2006, 4669412, 4886152, 5371463
Sep/19/2006, 4750426, 4968235, 5474293
Nov/29/2006, 4890004, 5111085, 5639833
Feb/4/2007, 4972172, 5195239, 5729390
Apr/25/2007, 5060948, 5284774, 5832970
Jul/8/2007, 5215458, 5445218, 5979935
Oct/9/2007, 5272632, 5497052, 6058861
Jan/24/2008, 5455345, 5682749, 6265663
Apr/16/2008, 5679912, 5913441, 6494021
Jul/13/2008, 5780304, 6015867, 6608795
Oct/9/2008, 5903948, 6133830, 6794023
Dec/24/2008, 6219333, 6450761, 7107577
Mar/23/2009, 6723545, 6958954, 7707587
Jun/9/2009, 7083057, 7323310, 8196233
Sep/9/2009, 7337529, 7581069, 8473182
Dec/2/2009, 7663555, 7943132, 8883652
Feb/24/2010, 7889875, 8173678, 9163559
May/16/2010, 8103841, 8389444, 9405271
Aug/1/2010, 8388776, 8677671, 9724838
Oct/20/2010, 8580121, 8873523, 9955529
Jan/4/2011, 8931244, 9228643, 10276877
Mar/14/2011, 9139376, 9440765, 10515304
May/18/2011, 9357119, 9667627, 10776026
Jul/21/2011, 9415123, 9727898, 10875599
Oct/24/2011, 9509840, 9823891, 10985253
Jan/4/2012, 9667982, 9985199, 11167780
